SITE,YEAR,dTEMP
NS2,70,0.31
NS2,71,0.18
NS2,72,0.28
NS2,73,0.43
NS2,74,0.19
NS2,75,0.42
NS2,76,0.26
NS2,77,0.86
NS2,78,0.5
NS2,79,0.34
NS2,80,-0.1
NS2,81,0.44
NS2,82,0.24
NS2,83,0.2
NS2,84,0.26
NS2,85,0.38
NS2,86,0.58
NS2,87,0.48
NS2,88,0.58
NS2,89,0.52
NS2,90,0.18
NS2,91,0.14
NS2,92,0.23
NS3,36,-0.34
NS3,37,-0.3
NS3,38,0.37
NS3,39,0.2
NS3,40,0.08
NS3,41,-0.8
NS3,42,0.16
NS3,43,0.62
NS3,44,-0.36
NS3,45,-0.4
NS3,46,-0.4
NS3,47,0
NS3,48,-0.01
NS3,49,0.34
NS3,50,-0.16
NS3,51,-0.18
NS3,52,-0.11
NS3,53,-0.1
NS3,54,-0.09
NS3,55,-0.06
NS3,56,0.14
NS3,57,0.52
NS3,58,-0.08
NS4,36,0.42
NS4,37,-0.72
NS4,38,0.34
NS4,39,0.26
NS4,40,0.3
NS4,41,-0.36
NS4,42,-0.22
NS4,43,0.52
NS4,44,-0.3
NS4,45,-0.06
NS4,46,0.07
NS4,47,-0.18
NS4,48,0.01
NS4,49,0.22
NS4,50,-0.26
NS4,51,-0.62
NS4,52,-0.51
NS4,53,0.04
NS4,54,-0.8
NS4,55,0.02
NS4,56,-0.27
NS4,57,0.42
NS4,58,0.14
NS5,19,0.48
NS5,20,0.44
NS5,21,0.33
NS5,22,0.55
NS5,23,0.5
NS5,24,0.82
NS5,25,0.44
NS5,26,0.62
NS5,27,0.08
NS5,28,0.88
NS5,29,-0.2
NS5,30,0.38
NS5,31,0.63
NS5,32,0.32
NS5,33,0.6
NS5,34,0.08
NS5,35,-0.02
NS5,36,0.5
NS5,37,0.3
NS5,38,-0.14
NS5,39,0.66
NS5,40,0.84
NS5,41,0.7
NS6,11,-0.08
NS6,12,-0.76
NS6,13,-0.77
NS6,14,0.35
NS6,15,0.26
NS6,16,-1.02
NS6,17,-0.06
NS6,18,-0.62
NS6,19,-0.8
NS6,20,-0.83
NS6,21,-0.41
NS6,22,-0.18
NS6,23,-0.69
NS6,24,-0.58
NS6,25,-0.88
NS6,26,-0.28
NS6,27,-0.12
NS6,28,-0.5
NS6,29,-0.02
NS6,30,-0.7
NS6,31,0.2
NS6,32,1.31
NS6,33,-0.28
NS7,2,6.64
NS7,3,0.96
NS7,4,1.28
NS7,5,1.71
NS7,6,1.88
NS7,7,-0.79
NS7,8,-0.31
NS7,9,1.34
NS7,10,1.89
NS7,11,0.63
NS7,12,1.14
NS7,13,1.09
NS7,14,2.7
NS7,15,0.74
NS7,16,0.58
NS7,17,1.3
NS7,18,2.51
NS7,19,2.04
NS7,20,1.44
NS7,21,1
NS7,22,1.42
NS7,23,0.01
NS7,24,0.88
SF1,23,0.6
SF1,24,1.18
SF1,25,-0.95
SF1,26,1.46
SF1,27,1.38
SF1,28,-0.58
SF1,29,0.51
SF1,30,0.45
SF1,31,0.14
SF1,32,0.97
SF1,33,0.02
SF1,34,0.3
SF1,35,0.56
SF1,36,0.3
SF1,37,-1.31
SF1,38,NaN
SF1,39,NaN
SF1,40,NaN
SF1,41,NaN
SF1,42,NaN
SF1,43,NaN
SF1,44,NaN
SF1,45,NaN
SF2,11,-0.51
SF2,12,0.85
SF2,13,0.38
SF2,14,0.5
SF2,15,1.3
SF2,16,-0.7
SF2,17,0.46
SF2,18,0.51
SF2,19,-0.76
SF2,20,-0.1
SF2,21,0.5
SF2,22,-0.1
SF2,23,1.03
SF2,24,-0.13
SF2,25,-0.44
SF2,26,-0.48
SF2,27,0.44
SF2,28,0.62
SF2,29,-0.06
SF2,30,-0.34
SF2,31,-0.28
SF2,32,-0.18
SF2,33,-0.41
SF3,2,1.05
SF3,3,0.56
SF3,4,0.81
SF3,5,-0.22
SF3,6,2.72
SF3,7,-0.4
SF3,8,0.3
SF3,9,0.45
SF3,10,-0.04
SF3,11,0.6
SF3,12,-0.64
SF3,13,-0.04
SF3,14,0.41
SF3,15,0.12
SF3,16,-0.26
SF3,17,0.38
SF3,18,0.86
SF3,19,0.92
SF3,20,0.72
SF3,21,0.78
SF3,22,0.5
SF3,23,0.56
SF3,24,-0.01
BN2,13,-1.74
BN2,14,-0.18
BN2,15,-0.86
BN2,16,-0.4
BN2,17,-0.9
BN2,18,-2.38
BN2,19,-0.6
BN2,20,-1.76
BN2,21,-1.54
BN2,22,-1
BN2,23,-1.33
BN2,24,-1.49
BN2,25,-0.64
BN2,26,-1.2
BN2,27,-0.84
BN2,28,-1.57
BN2,29,3.4
BN2,30,-1.15
BN2,31,-0.89
BN2,32,0.86
BN2,33,-1.84
BN2,34,-0.04
BN2,35,-0.82
BN3,1,-0.38
BN3,2,-0.03
BN3,3,-1.06
BN3,4,0.08
BN3,5,-0.72
BN3,6,-2
BN3,7,-0.33
BN3,8,-1.16
BN3,9,-0.96
BN3,10,-1.19
BN3,11,-0.64
BN3,12,-1.54
BN3,13,-1.82
BN3,14,0.14
BN3,15,-0.21
BN3,16,-0.97
BN3,17,1.66
BN3,18,-0.76
BN3,19,-1.48
BN3,20,2.9
BN3,21,-1.34
BN3,22,-1.1
BN3,23,-1.47
FCR,-10,1.66
FCR,-9,1.68
FCR,-8,3.21
FCR,-7,2.78
FCR,-6,1.18
FCR,-5,2.84
FCR,-4,1.54
FCR,-3,1.97
FCR,-2,1.46
FCR,-1,2.36
FCR,0,0.52
FCR,1,0.92
FCR,2,1.1
FCR,3,1.12
FCR,4,1.32
FCR,5,2.56
FCR,6,1.6
FCR,7,0.9
FCR,8,0.56
FCR,9,2.33
FCR,10,0.82
FCR,11,0.76
FCR,12,0.9
RPF,-4,-0.35
RPF,-3,0.22
RPF,-2,0.18
RPF,-1,-0.34
RPF,0,-0.19
RPF,1,-1.04
RPF,2,-1.14
RPF,3,-0.4
RPF,4,-0.73
RPF,5,-1.34
RPF,6,-0.99
RPF,7,-2
RPF,8,-1.24
RPF,9,-1.58
RPF,10,-1.9
RPF,11,-2.22
RPF,12,0.38
RPF,13,-2.26
RPF,14,-2.11
RPF,15,-1.43
RPF,16,-1.07
RPF,17,-2.68
RPF,18,-1.56