Year,adjFireArea
yyyy,ha
1986,739383
1987,832623
1988,1188570
1989,6613570
1990,803827
1991,1513190
1992,842368
1993,1937800
1994,4959790
1995,5825510
1996,1723150
1997,711074
1998,4095440
1999,1546730
2000,596895
2001,545835
2002,2659730
2003,1513510
2004,2729800
2005,1504900
2006,1766780
2007,1506410
2008,1374390
2009,586426
2010,2643630
2011,1909390
2012,1569220
2013,4122610
2014,3577710
2015,3233120
2016,1202660
2017,1911970
2018,1136310
2019,1577530
2020,183689
2021,3077580
2022,1328780
2023,13747600
2024,NaN
2025,NaN
2026,NaN
2027,NaN
2028,NaN
2029,NaN
2030,NaN
2031,NaN
2032,NaN
2033,NaN
2034,NaN
2035,NaN
2036,NaN
2037,NaN
2038,NaN
2039,NaN
2040,NaN
2041,NaN
2042,NaN
2043,NaN
2044,NaN
2045,NaN
2046,NaN
2047,NaN
2048,NaN
2049,NaN
2050,NaN